"","gene","model","lnL","kappa","omega","tree_length","tree_length_dN","tree_length_dS","mean_dN","mean_dS","p0","p1","w0","w1","p2","w2","n_positive_sites","beta_p","beta_q","w_positive"
"182","clpP1","M7",-793.267988,1.33188,NA,0.011609,NA,NA,0,0.0009625,NA,NA,NA,NA,NA,NA,NA,0.005,1.19818,NA
"183","matK","M7",-2047.964649,4.27454,NA,0.024078,NA,NA,5e-04,0.000525,NA,NA,NA,NA,NA,NA,NA,99,5.58263,NA
"184","ndhA","M7",-1455.546739,3.94065,NA,0.016942,NA,NA,0.00030625,0.0004875,NA,NA,NA,NA,NA,NA,NA,99,57.39132,NA
"185","ndhB","M7",-2019.197499,1e-04,NA,6.4e-05,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.005,47.44588,NA
"186","ndhC","M7",-461.916878,999,NA,0.009606,NA,NA,0,0.00071875,NA,NA,NA,NA,NA,NA,NA,0.005,25.48575,NA
"187","ndhE","M7",-383.43833,1e-04,NA,6.4e-05,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.005,9.01166,NA
"188","ndhF","M7",-2902.617384,1.33933,NA,0.014095,NA,NA,0.00024375,0.00050625,NA,NA,NA,NA,NA,NA,NA,90.08698,99,NA
"189","ndhG","M7",-689.95852,1e-04,NA,0.011538,NA,NA,0.0002375,0.0002375,NA,NA,NA,NA,NA,NA,NA,15.03621,0.005,NA
"190","ndhH","M7",-1635.744504,1.46433,NA,0.027994,NA,NA,0.0002375,0.00183124999999999,NA,NA,NA,NA,NA,NA,NA,0.005,0.03867,NA
"191","ndhI","M7",-706.309714,3.16787,NA,0.038136,NA,NA,0.0004875,0.001875,NA,NA,NA,NA,NA,NA,NA,0.01533,0.0379,NA
"192","ndhJ","M7",-637.636949,1e-04,NA,0.006459,NA,NA,0.00013125,0.00015,NA,NA,NA,NA,NA,NA,NA,0.03537,0.005,NA
"193","ndhK","M7",-915.742758,0.67703,NA,0.014738,NA,NA,0,0.0015,NA,NA,NA,NA,NA,NA,NA,0.005,3.90616,NA
"194","pafI","M7",-693.959531,0.36338,NA,0.025577,NA,NA,0.00015,0.0024375,NA,NA,NA,NA,NA,NA,NA,6.50876,99,NA
"195","pafII","M7",-730.001648,999,NA,0.005881,NA,NA,0,0.0004125,NA,NA,NA,NA,NA,NA,NA,0.005,98.60125,NA
"196","petA","M7",-1321.53782,0.40482,NA,0.019004,NA,NA,0.00040625,0.00040625,NA,NA,NA,NA,NA,NA,NA,0.36548,0.005,NA
"197","petB","M7",-869.762245,999,NA,0.015032,NA,NA,0,0.001125,NA,NA,NA,NA,NA,NA,NA,0.005,99,NA
"198","petD","M7",-635.467129,999,NA,0.013072,NA,NA,0.0001875,0.00055,NA,NA,NA,NA,NA,NA,NA,0.02231,0.04701,NA
"199","psaA","M7",-3065.52691,4.71963,NA,0.007155,NA,NA,0,0.00053124999999999,NA,NA,NA,NA,NA,NA,NA,0.005,2.24211,NA
"200","psaB","M7",-2986.055548,999,NA,0.008358,NA,NA,0,6e-04,NA,NA,NA,NA,NA,NA,NA,0.005,12.48039,NA
"201","psaC","M7",-318.191014,1e-04,NA,6.4e-05,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.005,2.10229,NA
"202","psbA","M7",-1417.614788,1.82716,NA,0.009516,NA,NA,0,0.00084374999999999,NA,NA,NA,NA,NA,NA,NA,0.005,0.76197,NA
"203","psbB","M7",-2053.148125,2.02704,NA,0.010835,NA,NA,0,0.00091249999999999,NA,NA,NA,NA,NA,NA,NA,0.005,1.7053,NA
"204","psbD","M7",-1408.09267,418.44905,NA,0.002998,NA,NA,0,0.00020625,NA,NA,NA,NA,NA,NA,NA,0.005,99,NA
"205","psbE","M7",-328.109604,1e-04,NA,6.4e-05,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.005,1.56166,NA
"206","psbH","M7",-285.662334,999,NA,0.013764,NA,NA,0,0.00128125,NA,NA,NA,NA,NA,NA,NA,0.005,41.77466,NA
"207","psbK","M7",-229.952235,1e-04,NA,6.4e-05,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.005,45.34176,NA
"208","psbZ","M7",-224.56948,1e-04,NA,6.4e-05,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.005,72.66813,NA
"209","rbcL","M7",-1977.588748,1.72423,NA,0.021743,NA,NA,0.000325,0.000875,NA,NA,NA,NA,NA,NA,NA,0.005,0.00796,NA
"210","rpl14","M7",-486.438135,999,NA,0.016862,NA,NA,0,0.001375,NA,NA,NA,NA,NA,NA,NA,0.005,0.83188,NA
"211","rpl2","M7",-1097.238189,1e-04,NA,0.003758,NA,NA,7.5e-05,8.75e-05,NA,NA,NA,NA,NA,NA,NA,0.04126,0.005,NA
"212","rpl20","M7",-485.863644,1.45815,NA,0.043915,NA,NA,0.0008875,0.0010125,NA,NA,NA,NA,NA,NA,NA,0.03493,0.005,NA
"213","rpl22","M7",-616.473195,1e-04,NA,0.02029,NA,NA,0.00041875,0.00041875,NA,NA,NA,NA,NA,NA,NA,11.59983,0.005,NA
"214","rpl23","M7",-366.631977,1e-04,NA,6.4e-05,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,10.05328,99,NA
"215","rpl32","M7",-211.924017,1.00691,NA,0.040268,NA,NA,0,0.00494375,NA,NA,NA,NA,NA,NA,NA,0.005,99,NA
"216","rpl33","M7",-284.486725,0.92883,NA,0.060634,NA,NA,0.00039375,0.00535,NA,NA,NA,NA,NA,NA,NA,7.89342,99,NA
"217","rpoA","M7",-1325.279828,1.04554,NA,0.018608,NA,NA,0.00038125,0.00038125,NA,NA,NA,NA,NA,NA,NA,5.25218,0.005,NA
"218","rpoB","M7",-4285.170939,2.02367,NA,0.003843,NA,NA,7.5e-05,7.5e-05,NA,NA,NA,NA,NA,NA,NA,0.63601,0.005,NA
"219","rpoC1","M7",-2742.043892,2.69726,NA,0.007575,NA,NA,0.000125,0.0003125,NA,NA,NA,NA,NA,NA,NA,0.005,0.00781,NA
"220","rpoC2","M7",-5738.62499,2.08306,NA,0.016933,NA,NA,0.00019999999999999,0.00085,NA,NA,NA,NA,NA,NA,NA,33.48637,98.94123,NA
"221","rps11","M7",-543.541161,24.80222,NA,0.016351,NA,NA,0,0.00151875,NA,NA,NA,NA,NA,NA,NA,0.005,0.15185,NA
"222","rps14","M7",-403.587711,1e-04,NA,0.010276,NA,NA,0.0002125,0.0002125,NA,NA,NA,NA,NA,NA,NA,2.20158,0.005,NA
"223","rps15","M7",-343.534516,999,NA,0.01041,NA,NA,0,0.0007625,NA,NA,NA,NA,NA,NA,NA,0.005,99,NA
"224","rps16","M7",-370.260546,5.91045,NA,0.047009,NA,NA,6e-04,0.00243125,NA,NA,NA,NA,NA,NA,NA,32.96097,99,NA
"225","rps18","M7",-408.980097,999,NA,0.030703,NA,NA,6e-04,0.00076875,NA,NA,NA,NA,NA,NA,NA,99,30.19879,NA
"226","rps19","M7",-359.6582,999,NA,0.011162,NA,NA,0.00023125,0.00023125,NA,NA,NA,NA,NA,NA,NA,5.18907,0.005,NA
"227","rps2","M7",-937.398712,1e-04,NA,0.004391,NA,NA,8.125e-05,0.00013125,NA,NA,NA,NA,NA,NA,NA,0.00687,0.005,NA
"228","rps3","M7",-857.172454,999,NA,0.009491,NA,NA,0.0001375,0.0003875,NA,NA,NA,NA,NA,NA,NA,49.82179,99,NA
"229","rps4","M7",-808.520226,1.66349,NA,0.010331,NA,NA,0.0001375,0.000525,NA,NA,NA,NA,NA,NA,NA,0.00535,0.01619,NA
"230","rps7","M7",-607.221002,1.95156,NA,6.4e-05,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.005,0.54817,NA
"231","rps8","M7",-535.003206,1e-04,NA,0.013274,NA,NA,0,0.00156875,NA,NA,NA,NA,NA,NA,NA,0.005,39.88496,NA
"232","ycf1","M7",-7786.446968,0.88801,NA,0.036849,NA,NA,7e-04,0.001125,NA,NA,NA,NA,NA,NA,NA,0.00832,0.005,NA
"233","atpA","M8",-2027.119739,0.79901,NA,0.006275,NA,NA,5.625e-05,0.0004125,0.99999,1e-05,NA,NA,NA,NA,0,0.31662,2.0865,1.88558
"234","atpB","M8",-1983.698203,257.4192,NA,0.002097,NA,NA,0,0.00015,0.99999,1e-05,NA,NA,NA,NA,0,0.005,99,8.76477
"235","atpE","M8",-531.508876,1e-04,NA,0.018317,NA,NA,0.00046875,4.375e-05,0.98958,0.01042,NA,NA,NA,NA,0,0.005,2.07504,999
"236","atpH","M8",-314.844481,999,NA,0.013058,NA,NA,0,0.00106875,0.99999,1e-05,NA,NA,NA,NA,0,0.005,1.70427,1
"237","atpI","M8",-984.160405,2.27066,NA,0.008199,NA,NA,0.000225,0,1e-05,0.99999,NA,NA,NA,NA,2,0.005,99,860.77982
"238","ccsA","M8",-1307.198462,3.65456,NA,0.02323,NA,NA,0.000175,0.00144375,0.99999,1e-05,NA,NA,NA,NA,0,8.23921,60.10202,13.42379
"239","cemA","M8",-915.717747,1e-04,NA,0.013612,NA,NA,0.00020625,0.0007125,0.99999,1e-05,NA,NA,NA,NA,0,42.28066,99,1
"240","clpP1","M8",-793.268053,1.33187,NA,0.011609,NA,NA,0,0.0009625,0.99999,1e-05,NA,NA,NA,NA,0,0.005,47.88339,1
"241","matK","M8",-2047.968199,4.30893,NA,0.024083,NA,NA,5e-04,0.00050625,0.01451,0.98549,NA,NA,NA,NA,0,0.005,1.11213,1
"242","ndhA","M8",-1455.54666,3.94742,NA,0.016944,NA,NA,0.00030625,0.0004875,0.99999,1e-05,NA,NA,NA,NA,0,99,55.60047,1
"243","ndhB","M8",-2019.199008,1.92989,NA,6.4e-05,NA,NA,0,0,0.99999,1e-05,NA,NA,NA,NA,0,0.005,1.24042,2.56803
"244","ndhC","M8",-461.916908,999,NA,0.009606,NA,NA,0,0.00071875,0.99999,1e-05,NA,NA,NA,NA,0,0.005,16.89499,1
"245","ndhE","M8",-383.43833,1e-04,NA,6.4e-05,NA,NA,0,0,0.99999,1e-05,NA,NA,NA,NA,0,0.005,2.09686,2.88739
"246","ndhF","M8",-2902.617383,1.33925,NA,0.014099,NA,NA,0.00024375,0.00050625,0.99999,1e-05,NA,NA,NA,NA,0,89.99237,99,2.22095
"247","ndhG","M8",-689.560354,1e-04,NA,0.011388,NA,NA,0.0002875,0,1e-05,0.99999,NA,NA,NA,NA,2,28.44023,0.005,406.2094
"248","ndhH","M8",-1634.675157,1.51372,NA,0.027315,NA,NA,0.00025624999999999,0.0016875,0.97821,0.02179,NA,NA,NA,NA,0,0.005,1.36562,6.99552
"249","ndhI","M8",-706.213178,3.34656,NA,0.045865,NA,NA,0.00070625,0.0018375,0.96335,0.03665,NA,NA,NA,NA,0,0.005,1.46566,10.45784
"250","ndhJ","M8",-637.473803,1e-04,NA,0.006328,NA,NA,0.00015625,0,1e-05,0.99999,NA,NA,NA,NA,0,0.005,1.37387,999
"251","ndhK","M8",-915.742883,0.67705,NA,0.014738,NA,NA,0,0.0015,0.99999,1e-05,NA,NA,NA,NA,0,0.005,6.85131,1
"252","pafI","M8",-694.02031,0.37029,NA,0.025519,NA,NA,0.00015625,0.002375,0.93331,0.06669,NA,NA,NA,NA,0,0.01023,3.09318,1
"253","pafII","M8",-730.003344,397.95129,NA,0.005882,NA,NA,0,0.0004125,0.99999,1e-05,NA,NA,NA,NA,0,0.005,99,1
"254","petA","M8",-1317.274905,0.42123,NA,0.024138,NA,NA,0.00061874999999999,3.125e-05,0.9701,0.0299,NA,NA,NA,NA,5,0.005,2.68335,999
"255","petB","M8",-869.762325,999,NA,0.015032,NA,NA,0,0.001125,0.99999,1e-05,NA,NA,NA,NA,0,0.005,8.9569,1
"256","petD","M8",-634.659263,999,NA,0.047405,NA,NA,0.00113124999999999,0.00054375,0.99261,0.00739,NA,NA,NA,NA,0,0.005,1.30524,280.98006
"257","psaA","M8",-3065.527183,4.71839,NA,0.007155,NA,NA,0,0.00053124999999999,0.99999,1e-05,NA,NA,NA,NA,0,0.005,1.20228,2.00613
"258","psaB","M8",-2986.076456,284.39081,NA,0.008376,NA,NA,0,6e-04,0.99999,1e-05,NA,NA,NA,NA,0,0.005,99,86.25749
"259","psaC","M8",-318.191014,1e-04,NA,6.4e-05,NA,NA,0,0,0.99999,1e-05,NA,NA,NA,NA,0,0.005,1.51035,1
"260","psbA","M8",-1417.614892,1.82743,NA,0.009516,NA,NA,0,0.00084374999999999,0.99999,1e-05,NA,NA,NA,NA,0,0.005,99,1
"261","psbB","M8",-2053.148292,2.02732,NA,0.010834,NA,NA,0,0.00091249999999999,0.99999,1e-05,NA,NA,NA,NA,0,0.005,1.48094,1
"262","psbD","M8",-1408.091205,999,NA,0.002998,NA,NA,0,0.00020625,0.99999,1e-05,NA,NA,NA,NA,0,0.005,6.01503,1
"263","psbE","M8",-328.109604,1e-04,NA,6.4e-05,NA,NA,0,0,0.99999,1e-05,NA,NA,NA,NA,0,0.005,1.8201,3.41674
"264","psbH","M8",-285.662828,999,NA,0.013822,NA,NA,0,0.00128125,0.99999,1e-05,NA,NA,NA,NA,0,0.005,1.92355,122.61904
"265","psbK","M8",-229.953214,1.93294,NA,6.4e-05,NA,NA,0,0,0.64542,0.35458,NA,NA,NA,NA,0,0.005,2.09248,3.64958
"266","psbZ","M8",-224.569753,999,NA,6.4e-05,NA,NA,0,0,1e-05,0.99999,NA,NA,NA,NA,0,0.005,0.46346,999
"267","rbcL","M8",-1972.866552,1.88581,NA,0.022551,NA,NA,0.00041874999999999,0.0006125,0.97912,0.02088,NA,NA,NA,NA,0,0.005,6.03559,33.58991
"268","rpl14","M8",-486.43819,999,NA,0.016862,NA,NA,0,0.001375,0.99999,1e-05,NA,NA,NA,NA,0,0.005,86.71712,1
"269","rpl2","M8",-1096.99376,1e-04,NA,0.003792,NA,NA,9.375e-05,0,1e-05,0.99999,NA,NA,NA,NA,0,0.005,0.19875,999
"270","rpl20","M8",-485.852907,1.46944,NA,0.043877,NA,NA,0.0009125,0.000925,0.99999,1e-05,NA,NA,NA,NA,0,99,1.60963,1
"271","rpl22","M8",-615.958764,1e-04,NA,0.020083,NA,NA,0.00050625,0,1e-05,0.99999,NA,NA,NA,NA,3,0.005,94.00283,999
"272","rpl23","M8",-366.632212,1.94092,NA,6.4e-05,NA,NA,0,0,0.85991,0.14009,NA,NA,NA,NA,0,0.005,1.92886,3.5533
"273","rpl32","M8",-211.924109,1.00694,NA,0.040268,NA,NA,0,0.00494375,0.99999,1e-05,NA,NA,NA,NA,0,0.005,84.16902,1
"274","rpl33","M8",-284.48704,0.92883,NA,0.060649,NA,NA,0.00039375,0.00535,0.99999,1e-05,NA,NA,NA,NA,0,5.64944,70.71352,9.78892
"275","rpoA","M8",-1324.135,1.25577,NA,0.018353,NA,NA,0.00048124999999999,0,1e-05,0.99999,NA,NA,NA,NA,6,0.005,3.28591,999
"276","rpoB","M8",-4285.155933,1.96578,NA,0.003849,NA,NA,7.5e-05,9.375e-05,0.31386,0.68614,NA,NA,NA,NA,0,0.00504,0.01114,1.04866
"277","rpoC1","M8",-2738.761517,3.11125,NA,0.007602,NA,NA,0.00015625,0.00015625,0.98897,0.01103,NA,NA,NA,NA,0,0.005,13.03534,100.49236
"278","rpoC2","M8",-5738.625166,2.08295,NA,0.016968,NA,NA,0.00019999999999999,0.00085,0.99999,1e-05,NA,NA,NA,NA,0,33.50115,99,1
"279","rps11","M8",-543.361658,999,NA,0.016498,NA,NA,0,0.00154375,0.99999,1e-05,NA,NA,NA,NA,0,0.005,5.18144,10.66512
"280","rps14","M8",-403.434553,1e-04,NA,0.010042,NA,NA,0.00025,0,1e-05,0.99999,NA,NA,NA,NA,0,99,0.005,999
"281","rps15","M8",-343.53454,999,NA,0.010411,NA,NA,0,0.0007625,0.99999,1e-05,NA,NA,NA,NA,0,0.005,1.34179,1
"282","rps16","M8",-370.260548,5.91051,NA,0.047009,NA,NA,6e-04,0.00243125,0.99999,1e-05,NA,NA,NA,NA,0,32.95997,99,1
"283","rps18","M8",-408.980098,999,NA,0.030702,NA,NA,6e-04,0.00076875,0.99999,1e-05,NA,NA,NA,NA,0,99,30.32542,1
"284","rps19","M8",-359.393897,999,NA,0.010884,NA,NA,3e-04,0,1e-05,0.99999,NA,NA,NA,NA,0,0.005,76.37946,999
"285","rps2","M8",-937.144588,1e-04,NA,0.004288,NA,NA,0.00010625,0,1e-05,0.99999,NA,NA,NA,NA,0,0.005,1.18009,999
"286","rps3","M8",-857.177673,999,NA,0.009503,NA,NA,0.0001375,0.0003875,0.65921,0.34079,NA,NA,NA,NA,0,0.005,76.97047,1
"287","rps4","M8",-808.425297,1.89146,NA,0.014701,NA,NA,0.00025,0.00051249999999999,0.99231,0.00769,NA,NA,NA,NA,0,0.005,2.37173,63.196
"288","rps7","M8",-607.220999,6.20654,NA,6.4e-05,NA,NA,0,0,0.99999,1e-05,NA,NA,NA,NA,0,0.005,99,147.40213
"289","rps8","M8",-535.003283,1e-04,NA,0.013274,NA,NA,0,0.00156875,0.99999,1e-05,NA,NA,NA,NA,0,0.005,1.76313,1
"290","ycf1","M8",-7780.480255,0.95735,NA,0.038989,NA,NA,0.0007875,0.00095625,0.90166,0.09834,NA,NA,NA,NA,0,0.005,1.86834,8.26167
