"","Query","Subject","ANI","Aligned_length","Query_length"
"267","B._velezensis_strain_NJAU-Z9.fna","B._subtilis_strain_4ZT.fna",81.244,646,1289
"268","B._velezensis_strain_NJAU-Z9.fna","B._subtilis_strain_YZ-1.fna",81.2318,674,1289
"269","B._velezensis_strain_NJAU-Z9.fna","B._subtilis_strain_PK5_52.fna",81.2099,664,1289
"270","B._velezensis_strain_NJAU-Z9.fna","B._halotolerans_strain_KKD1.fna",81.1122,719,1289
"271","B._velezensis_strain_NJAU-Z9.fna","B._subtilis_strain_SRCM116301.fna",81.1105,664,1289
"272","B._velezensis_strain_NJAU-Z9.fna","B._sonorensis_strain_SRCM101395.fna",78.9807,339,1289
"273","B._velezensis_strain_NJAU-Z9.fna","B._paralicheniformis_strain_SUBG0010.fna",78.6104,364,1289
"274","B._velezensis_strain_Pm9.fna","B._velezensis_strain_Pm9.fna",100,1296,1296
"275","B._velezensis_strain_Pm9.fna","B._velezensis_strain_SMU-T0423.fna",99.3752,1244,1296
"276","B._velezensis_strain_Pm9.fna","B._velezensis_strain_NJAU-Z9.fna",99.3248,1242,1296
"277","B._velezensis_strain_Pm9.fna","B._velezensis_strain_DJ4.fna",99.29,1249,1296
"278","B._velezensis_strain_Pm9.fna","B._velezensis_strain_SCGB_574.fna",97.6018,1230,1296
"279","B._velezensis_strain_Pm9.fna","B._velezensis_strain_Ag75.fna",97.5553,1238,1296
"280","B._velezensis_strain_Pm9.fna","B._velezensis_strain_BS-G1.fna",97.5516,1235,1296
"281","B._velezensis_strain_Pm9.fna","B._velezensis_strain_JM199.fna",97.5338,1235,1296
"282","B._velezensis_strain_Pm9.fna","Strain_FO-S2.fna",97.4303,1213,1296
"283","B._velezensis_strain_Pm9.fna","B._subtilis_strain_YZ-1.fna",81.1808,677,1296
"284","B._velezensis_strain_Pm9.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",81.1186,675,1296
"285","B._velezensis_strain_Pm9.fna","B._halotolerans_strain_KKD1.fna",81.1016,713,1296
"286","B._velezensis_strain_Pm9.fna","B._subtilis_strain_SRCM116301.fna",81.0848,680,1296
"287","B._velezensis_strain_Pm9.fna","B._subtilis_strain_K35-1.fna",81.0665,679,1296
"288","B._velezensis_strain_Pm9.fna","B._subtilis_strain_4ZT.fna",81.0577,671,1296
"289","B._velezensis_strain_Pm9.fna","B._subtilis_strain_PK5_52.fna",80.9755,680,1296
"290","B._velezensis_strain_Pm9.fna","B._sonorensis_strain_SRCM101395.fna",79.0427,338,1296
"291","B._velezensis_strain_Pm9.fna","B._paralicheniformis_strain_SUBG0010.fna",78.846,355,1296
"292","B._velezensis_strain_SCGB_574.fna","B._velezensis_strain_SCGB_574.fna",100,1327,1329
"293","B._velezensis_strain_SCGB_574.fna","B._velezensis_strain_Ag75.fna",98.1385,1254,1329
"294","B._velezensis_strain_SCGB_574.fna","B._velezensis_strain_BS-G1.fna",98.084,1259,1329
"295","B._velezensis_strain_SCGB_574.fna","Strain_FO-S2.fna",98.0699,1250,1329
"296","B._velezensis_strain_SCGB_574.fna","B._velezensis_strain_JM199.fna",97.9803,1246,1329
"297","B._velezensis_strain_SCGB_574.fna","B._velezensis_strain_NJAU-Z9.fna",97.5886,1247,1329
"298","B._velezensis_strain_SCGB_574.fna","B._velezensis_strain_DJ4.fna",97.5535,1249,1329
"299","B._velezensis_strain_SCGB_574.fna","B._velezensis_strain_Pm9.fna",97.5503,1243,1329
"300","B._velezensis_strain_SCGB_574.fna","B._velezensis_strain_SMU-T0423.fna",97.5477,1245,1329
"301","B._velezensis_strain_SCGB_574.fna","B._subtilis_strain_YZ-1.fna",81.3756,665,1329
"302","B._velezensis_strain_SCGB_574.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",81.3485,671,1329
"303","B._velezensis_strain_SCGB_574.fna","B._subtilis_strain_K35-1.fna",81.2482,680,1329
"304","B._velezensis_strain_SCGB_574.fna","B._subtilis_strain_4ZT.fna",81.1948,680,1329
"305","B._velezensis_strain_SCGB_574.fna","B._subtilis_strain_PK5_52.fna",81.1815,682,1329
"306","B._velezensis_strain_SCGB_574.fna","B._subtilis_strain_SRCM116301.fna",81.1387,687,1329
"307","B._velezensis_strain_SCGB_574.fna","B._halotolerans_strain_KKD1.fna",81.0366,723,1329
"308","B._velezensis_strain_SCGB_574.fna","B._paralicheniformis_strain_SUBG0010.fna",79.0355,358,1329
"309","B._velezensis_strain_SCGB_574.fna","B._sonorensis_strain_SRCM101395.fna",78.6832,353,1329
"310","B._velezensis_strain_SMU-T0423.fna","B._velezensis_strain_SMU-T0423.fna",100,1309,1319
"311","B._velezensis_strain_SMU-T0423.fna","B._velezensis_strain_NJAU-Z9.fna",99.3995,1257,1319
"312","B._velezensis_strain_SMU-T0423.fna","B._velezensis_strain_Pm9.fna",99.3861,1238,1319
"313","B._velezensis_strain_SMU-T0423.fna","B._velezensis_strain_DJ4.fna",99.3207,1262,1319
"314","B._velezensis_strain_SMU-T0423.fna","B._velezensis_strain_SCGB_574.fna",97.5657,1243,1319
"315","B._velezensis_strain_SMU-T0423.fna","B._velezensis_strain_BS-G1.fna",97.5372,1244,1319
"316","B._velezensis_strain_SMU-T0423.fna","B._velezensis_strain_Ag75.fna",97.5284,1243,1319
"317","B._velezensis_strain_SMU-T0423.fna","B._velezensis_strain_JM199.fna",97.4804,1246,1319
"318","B._velezensis_strain_SMU-T0423.fna","Strain_FO-S2.fna",97.3442,1227,1319
"319","B._velezensis_strain_SMU-T0423.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",81.1727,639,1319
"320","B._velezensis_strain_SMU-T0423.fna","B._subtilis_strain_K35-1.fna",81.1697,654,1319
"321","B._velezensis_strain_SMU-T0423.fna","B._subtilis_strain_YZ-1.fna",81.096,669,1319
"322","B._velezensis_strain_SMU-T0423.fna","B._halotolerans_strain_KKD1.fna",81.0955,721,1319
"323","B._velezensis_strain_SMU-T0423.fna","B._subtilis_strain_4ZT.fna",81.0027,651,1319
"324","B._velezensis_strain_SMU-T0423.fna","B._subtilis_strain_SRCM116301.fna",80.9917,673,1319
"325","B._velezensis_strain_SMU-T0423.fna","B._subtilis_strain_PK5_52.fna",80.858,687,1319
"326","B._velezensis_strain_SMU-T0423.fna","B._sonorensis_strain_SRCM101395.fna",79.0012,338,1319
"327","B._velezensis_strain_SMU-T0423.fna","B._paralicheniformis_strain_SUBG0010.fna",78.8391,359,1319
"328","E._coli_K-12_strain_K-12_MG1655.fna","E._coli_K-12_strain_K-12_MG1655.fna",100,1553,1553
"329","Lysinibacillus_sp._FSL_K6-3209.fna","Lysinibacillus_sp._FSL_K6-3209.fna",100,1526,1526
"330","M._avium_subsp._paratuberculosis_strain_XJ121.fna","M._avium_subsp._paratuberculosis_strain_XJ121.fna",100,1609,1609
"331","M._avium_subsp._paratuberculosis_strain_XJ121.fna","Streptomyces_sp.SudanB13_2037.fna",75.9274,323,1609
"332","Paenibacillus._sp._FSL_H3-0286.fna","Paenibacillus._sp._FSL_H3-0286.fna",100,2355,2356
"333","S._aureus_strain_HL21008.fna","S._aureus_strain_HL21008.fna",100,974,990
"334","Strain_FO-S2.fna","Strain_FO-S2.fna",100,1377,1377
"335","Strain_FO-S2.fna","B._velezensis_strain_BS-G1.fna",98.6313,1253,1377
"336","Strain_FO-S2.fna","B._velezensis_strain_SCGB_574.fna",98.0778,1245,1377
"337","Strain_FO-S2.fna","B._velezensis_strain_Ag75.fna",98.0372,1249,1377
"338","Strain_FO-S2.fna","B._velezensis_strain_JM199.fna",97.7432,1278,1377
"339","Strain_FO-S2.fna","B._velezensis_strain_Pm9.fna",97.4363,1222,1377
"340","Strain_FO-S2.fna","B._velezensis_strain_NJAU-Z9.fna",97.3953,1226,1377
"341","Strain_FO-S2.fna","B._velezensis_strain_SMU-T0423.fna",97.3729,1222,1377
"342","Strain_FO-S2.fna","B._velezensis_strain_DJ4.fna",97.211,1266,1377
"343","Strain_FO-S2.fna","B._subtilis_strain_YZ-1.fna",81.0048,678,1377
"344","Strain_FO-S2.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",80.9297,660,1377
"345","Strain_FO-S2.fna","B._subtilis_strain_4ZT.fna",80.8855,685,1377
"346","Strain_FO-S2.fna","B._halotolerans_strain_KKD1.fna",80.8368,747,1377
"347","Strain_FO-S2.fna","B._subtilis_strain_PK5_52.fna",80.8349,673,1377
"348","Strain_FO-S2.fna","B._subtilis_strain_SRCM116301.fna",80.809,679,1377
"349","Strain_FO-S2.fna","B._subtilis_strain_K35-1.fna",80.7964,665,1377
"350","Strain_FO-S2.fna","B._paralicheniformis_strain_SUBG0010.fna",78.566,342,1377
"351","Strain_FO-S2.fna","B._sonorensis_strain_SRCM101395.fna",78.3214,347,1377
"352","Streptomyces_sp.SudanB13_2037.fna","Streptomyces_sp.SudanB13_2037.fna",100,2454,2457
"353","Streptomyces_sp.SudanB13_2037.fna","M._avium_subsp._paratuberculosis_strain_XJ121.fna",75.8958,334,2457
"354","V._salidurans_strain_NKC19-16.fna","V._salidurans_strain_NKC19-16.fna",100,1276,1276
