gene,model,lnL,kappa,omega,tree_length,tree_length_dN,tree_length_dS,mean_dN,mean_dS,p0,p1,w0,w1,p2,w2,n_positive_sites,beta_p,beta_q,w_positive
rpoC1,M7,-2742.043892,2.69726,,0.007575,,,0.000125,0.0003125,,,,,,,,0.005,0.00781,
rpoC2,M7,-5738.62499,2.08306,,0.016933,,,0.00019999999999999998,0.00085,,,,,,,,33.48637,98.94123,
rps11,M7,-543.541161,24.80222,,0.016351,,,0.0,0.0015187500000000001,,,,,,,,0.005,0.15185,
rps14,M7,-403.587711,0.0001,,0.010276,,,0.0002125,0.0002125,,,,,,,,2.20158,0.005,
rps15,M7,-343.534516,999.0,,0.01041,,,0.0,0.0007625,,,,,,,,0.005,99.0,
rps16,M7,-370.260546,5.91045,,0.047009,,,0.0006,0.0024312500000000003,,,,,,,,32.96097,99.0,
rps18,M7,-408.980097,999.0,,0.030703,,,0.0006000000000000001,0.0007687500000000001,,,,,,,,99.0,30.19879,
rps19,M7,-359.6582,999.0,,0.011162,,,0.00023125,0.00023125,,,,,,,,5.18907,0.005,
rps2,M7,-937.398712,0.0001,,0.004391,,,8.125e-05,0.00013125,,,,,,,,0.00687,0.005,
rps3,M7,-857.172454,999.0,,0.009491,,,0.0001375,0.0003875,,,,,,,,49.82179,99.0,
rps4,M7,-808.520226,1.66349,,0.010331,,,0.0001375,0.000525,,,,,,,,0.00535,0.01619,
rps7,M7,-607.221002,1.95156,,6.4e-05,,,0.0,0.0,,,,,,,,0.005,0.54817,
rps8,M7,-535.003206,0.0001,,0.013274,,,0.0,0.00156875,,,,,,,,0.005,39.88496,
ycf1,M7,-7786.446968,0.88801,,0.036849,,,0.0007000000000000001,0.001125,,,,,,,,0.00832,0.005,
atpA,M8,-2027.119739,0.79901,,0.006275,,,5.625e-05,0.0004125,0.99999,1e-05,,,,,0.0,0.31662,2.0865,1.88558
atpB,M8,-1983.698203,257.4192,,0.002097,,,0.0,0.00015,0.99999,1e-05,,,,,0.0,0.005,99.0,8.76477
atpE,M8,-531.508876,0.0001,,0.018317,,,0.00046875,4.375e-05,0.98958,0.01042,,,,,0.0,0.005,2.07504,999.0
atpH,M8,-314.844481,999.0,,0.013058,,,0.0,0.00106875,0.99999,1e-05,,,,,0.0,0.005,1.70427,1.0
atpI,M8,-984.160405,2.27066,,0.008199,,,0.000225,0.0,1e-05,0.99999,,,,,2.0,0.005,99.0,860.77982
ccsA,M8,-1307.198462,3.65456,,0.02323,,,0.00017500000000000003,0.0014437500000000002,0.99999,1e-05,,,,,0.0,8.23921,60.10202,13.42379
cemA,M8,-915.717747,0.0001,,0.013612,,,0.00020625,0.0007125,0.99999,1e-05,,,,,0.0,42.28066,99.0,1.0
clpP1,M8,-793.268053,1.33187,,0.011609,,,0.0,0.0009625,0.99999,1e-05,,,,,0.0,0.005,47.88339,1.0
matK,M8,-2047.968199,4.30893,,0.024083,,,0.0005,0.00050625,0.01451,0.98549,,,,,0.0,0.005,1.11213,1.0
ndhA,M8,-1455.54666,3.94742,,0.016944,,,0.00030625000000000004,0.0004875,0.99999,1e-05,,,,,0.0,99.0,55.60047,1.0
ndhB,M8,-2019.199008,1.92989,,6.4e-05,,,0.0,0.0,0.99999,1e-05,,,,,0.0,0.005,1.24042,2.56803
ndhC,M8,-461.916908,999.0,,0.009606,,,0.0,0.00071875,0.99999,1e-05,,,,,0.0,0.005,16.89499,1.0
ndhE,M8,-383.43833,0.0001,,6.4e-05,,,0.0,0.0,0.99999,1e-05,,,,,0.0,0.005,2.09686,2.88739
ndhF,M8,-2902.617383,1.33925,,0.014099,,,0.00024375000000000002,0.0005062500000000001,0.99999,1e-05,,,,,0.0,89.99237,99.0,2.22095
ndhG,M8,-689.560354,0.0001,,0.011388,,,0.0002875,0.0,1e-05,0.99999,,,,,2.0,28.44023,0.005,406.2094
ndhH,M8,-1634.675157,1.51372,,0.027315,,,0.00025624999999999997,0.0016875000000000002,0.97821,0.02179,,,,,0.0,0.005,1.36562,6.99552
ndhI,M8,-706.213178,3.34656,,0.045865,,,0.0007062500000000001,0.0018375,0.96335,0.03665,,,,,0.0,0.005,1.46566,10.45784
ndhJ,M8,-637.473803,0.0001,,0.006328,,,0.00015625,0.0,1e-05,0.99999,,,,,0.0,0.005,1.37387,999.0
ndhK,M8,-915.742883,0.67705,,0.014738,,,0.0,0.0015,0.99999,1e-05,,,,,0.0,0.005,6.85131,1.0
pafI,M8,-694.02031,0.37029,,0.025519,,,0.00015625,0.002375,0.93331,0.06669,,,,,0.0,0.01023,3.09318,1.0
pafII,M8,-730.003344,397.95129,,0.005882,,,0.0,0.0004125,0.99999,1e-05,,,,,0.0,0.005,99.0,1.0
petA,M8,-1317.274905,0.42123,,0.024138,,,0.0006187499999999999,3.125e-05,0.9701,0.0299,,,,,5.0,0.005,2.68335,999.0
petB,M8,-869.762325,999.0,,0.015032,,,0.0,0.0011250000000000001,0.99999,1e-05,,,,,0.0,0.005,8.9569,1.0
petD,M8,-634.659263,999.0,,0.047405,,,0.0011312499999999999,0.00054375,0.99261,0.00739,,,,,0.0,0.005,1.30524,280.98006
psaA,M8,-3065.527183,4.71839,,0.007155,,,0.0,0.0005312499999999999,0.99999,1e-05,,,,,0.0,0.005,1.20228,2.00613
psaB,M8,-2986.076456,284.39081,,0.008376,,,0.0,0.0006000000000000001,0.99999,1e-05,,,,,0.0,0.005,99.0,86.25749
psaC,M8,-318.191014,0.0001,,6.4e-05,,,0.0,0.0,0.99999,1e-05,,,,,0.0,0.005,1.51035,1.0
psbA,M8,-1417.614892,1.82743,,0.009516,,,0.0,0.0008437499999999999,0.99999,1e-05,,,,,0.0,0.005,99.0,1.0
psbB,M8,-2053.148292,2.02732,,0.010834,,,0.0,0.0009124999999999999,0.99999,1e-05,,,,,0.0,0.005,1.48094,1.0
psbD,M8,-1408.091205,999.0,,0.002998,,,0.0,0.00020625,0.99999,1e-05,,,,,0.0,0.005,6.01503,1.0
psbE,M8,-328.109604,0.0001,,6.4e-05,,,0.0,0.0,0.99999,1e-05,,,,,0.0,0.005,1.8201,3.41674
psbH,M8,-285.662828,999.0,,0.013822,,,0.0,0.00128125,0.99999,1e-05,,,,,0.0,0.005,1.92355,122.61904
psbK,M8,-229.953214,1.93294,,6.4e-05,,,0.0,0.0,0.64542,0.35458,,,,,0.0,0.005,2.09248,3.64958
psbZ,M8,-224.569753,999.0,,6.4e-05,,,0.0,0.0,1e-05,0.99999,,,,,0.0,0.005,0.46346,999.0
rbcL,M8,-1972.866552,1.88581,,0.022551,,,0.00041874999999999996,0.0006125,0.97912,0.02088,,,,,0.0,0.005,6.03559,33.58991
rpl14,M8,-486.43819,999.0,,0.016862,,,0.0,0.001375,0.99999,1e-05,,,,,0.0,0.005,86.71712,1.0
rpl2,M8,-1096.99376,0.0001,,0.003792,,,9.375e-05,0.0,1e-05,0.99999,,,,,0.0,0.005,0.19875,999.0
rpl20,M8,-485.852907,1.46944,,0.043877,,,0.0009125,0.000925,0.99999,1e-05,,,,,0.0,99.0,1.60963,1.0
rpl22,M8,-615.958764,0.0001,,0.020083,,,0.00050625,0.0,1e-05,0.99999,,,,,3.0,0.005,94.00283,999.0
rpl23,M8,-366.632212,1.94092,,6.4e-05,,,0.0,0.0,0.85991,0.14009,,,,,0.0,0.005,1.92886,3.5533
rpl32,M8,-211.924109,1.00694,,0.040268,,,0.0,0.00494375,0.99999,1e-05,,,,,0.0,0.005,84.16902,1.0
rpl33,M8,-284.48704,0.92883,,0.060649,,,0.00039375,0.00535,0.99999,1e-05,,,,,0.0,5.64944,70.71352,9.78892
rpoA,M8,-1324.135,1.25577,,0.018353,,,0.00048124999999999996,0.0,1e-05,0.99999,,,,,6.0,0.005,3.28591,999.0
rpoB,M8,-4285.155933,1.96578,,0.003849,,,7.5e-05,9.375e-05,0.31386,0.68614,,,,,0.0,0.00504,0.01114,1.04866
rpoC1,M8,-2738.761517,3.11125,,0.007602,,,0.00015625,0.00015625,0.98897,0.01103,,,,,0.0,0.005,13.03534,100.49236
rpoC2,M8,-5738.625166,2.08295,,0.016968,,,0.00019999999999999998,0.00085,0.99999,1e-05,,,,,0.0,33.50115,99.0,1.0
rps11,M8,-543.361658,999.0,,0.016498,,,0.0,0.00154375,0.99999,1e-05,,,,,0.0,0.005,5.18144,10.66512
rps14,M8,-403.434553,0.0001,,0.010042,,,0.00025,0.0,1e-05,0.99999,,,,,0.0,99.0,0.005,999.0
rps15,M8,-343.53454,999.0,,0.010411,,,0.0,0.0007625,0.99999,1e-05,,,,,0.0,0.005,1.34179,1.0
rps16,M8,-370.260548,5.91051,,0.047009,,,0.0006,0.0024312500000000003,0.99999,1e-05,,,,,0.0,32.95997,99.0,1.0
rps18,M8,-408.980098,999.0,,0.030702,,,0.0006000000000000001,0.0007687500000000001,0.99999,1e-05,,,,,0.0,99.0,30.32542,1.0
rps19,M8,-359.393897,999.0,,0.010884,,,0.0003,0.0,1e-05,0.99999,,,,,0.0,0.005,76.37946,999.0
rps2,M8,-937.144588,0.0001,,0.004288,,,0.00010625,0.0,1e-05,0.99999,,,,,0.0,0.005,1.18009,999.0
rps3,M8,-857.177673,999.0,,0.009503,,,0.0001375,0.0003875,0.65921,0.34079,,,,,0.0,0.005,76.97047,1.0
rps4,M8,-808.425297,1.89146,,0.014701,,,0.00025,0.0005124999999999999,0.99231,0.00769,,,,,0.0,0.005,2.37173,63.196
rps7,M8,-607.220999,6.20654,,6.4e-05,,,0.0,0.0,0.99999,1e-05,,,,,0.0,0.005,99.0,147.40213
rps8,M8,-535.003283,0.0001,,0.013274,,,0.0,0.00156875,0.99999,1e-05,,,,,0.0,0.005,1.76313,1.0
ycf1,M8,-7780.480255,0.95735,,0.038989,,,0.0007875,0.0009562500000000001,0.90166,0.09834,,,,,0.0,0.005,1.86834,8.26167
