accession,filename,size_bp,size_kb,size_mb
PP235277,PP235277.fasta,155686,155.69,0.156
PP235279,PP235279.fasta,155759,155.76,0.156
PP235281,PP235281.fasta,155766,155.77,0.156
PP235282,PP235282.fasta,155788,155.79,0.156
PP235287,PP235287.fasta,155263,155.26,0.155
PP235289,PP235289.fasta,155734,155.73,0.156
PP235290,PP235290.fasta,155748,155.75,0.156
PP236144,PP236144.fasta,122407,122.41,0.122
PP236145,PP236145.fasta,121238,121.24,0.121
PP262133,PP262133.fasta,151350,151.35,0.151
PP262134,PP262134.fasta,151010,151.01,0.151
PP262135,PP262135.fasta,150932,150.93,0.151
PP262137,PP262137.fasta,151912,151.91,0.152
PP262138,PP262138.fasta,151334,151.33,0.151
PP262143,PP262143.fasta,151768,151.77,0.152
PP262144,PP262144.fasta,151560,151.56,0.152
PP262146,PP262146.fasta,151882,151.88,0.152
PP262147,PP262147.fasta,151882,151.88,0.152
PP262148,PP262148.fasta,151855,151.85,0.152
PP262149,PP262149.fasta,151687,151.69,0.152
PP262150,PP262150.fasta,151729,151.73,0.152
PP262151,PP262151.fasta,151853,151.85,0.152
PP262152,PP262152.fasta,151606,151.61,0.152
PP262153,PP262153.fasta,151606,151.61,0.152
PP262155,PP262155.fasta,151286,151.29,0.151
PP262169,PP262169.fasta,151456,151.46,0.151
PP262170,PP262170.fasta,151271,151.27,0.151
PP262171,PP262171.fasta,151145,151.15,0.151
PP262172,PP262172.fasta,151182,151.18,0.151
PP262173,PP262173.fasta,150845,150.84,0.151
PP262174,PP262174.fasta,151473,151.47,0.151
PP262175,PP262175.fasta,151182,151.18,0.151
PP262176,PP262176.fasta,151275,151.28,0.151
PP272172,PP272172.fasta,149122,149.12,0.149
PP272173,PP272173.fasta,150004,150.0,0.15
PP272174,PP272174.fasta,151370,151.37,0.151
PP272175,PP272175.fasta,151417,151.42,0.151
PP272176,PP272176.fasta,151216,151.22,0.151
PP272177,PP272177.fasta,151367,151.37,0.151
PP272178,PP272178.fasta,150280,150.28,0.15
PP272179,PP272179.fasta,150535,150.53,0.151
PP272180,PP272180.fasta,150312,150.31,0.15
PP272181,PP272181.fasta,151747,151.75,0.152
PP272182,PP272182.fasta,151763,151.76,0.152
PP272183,PP272183.fasta,149963,149.96,0.15
PP272184,PP272184.fasta,150060,150.06,0.15
PP291717,PP291717.fasta,160604,160.6,0.161
PP291718,PP291718.fasta,160603,160.6,0.161
PP291719,PP291719.fasta,160337,160.34,0.16
PP291720,PP291720.fasta,160276,160.28,0.16
PP297065,PP297065.fasta,154675,154.68,0.155
PP297066,PP297066.fasta,154705,154.71,0.155
PP297068,PP297068.fasta,154894,154.89,0.155
PP313080,PP313080.fasta,125427,125.43,0.125
PP315674,PP315674.fasta,157842,157.84,0.158
PP316497,PP316497.fasta,151777,151.78,0.152
PP316498,PP316498.fasta,155234,155.23,0.155
PP316499,PP316499.fasta,154581,154.58,0.155
PP316500,PP316500.fasta,155900,155.9,0.156
PP316501,PP316501.fasta,154832,154.83,0.155
PP316502,PP316502.fasta,137670,137.67,0.138
PP316503,PP316503.fasta,155820,155.82,0.156
PP316504,PP316504.fasta,155849,155.85,0.156
PP316505,PP316505.fasta,159753,159.75,0.16
PP316506,PP316506.fasta,136514,136.51,0.137
PP316507,PP316507.fasta,136553,136.55,0.137
PP316508,PP316508.fasta,151947,151.95,0.152
PP316509,PP316509.fasta,151906,151.91,0.152
PP316510,PP316510.fasta,151881,151.88,0.152
PP316511,PP316511.fasta,152275,152.28,0.152
PP316512,PP316512.fasta,135964,135.96,0.136
PP316513,PP316513.fasta,136150,136.15,0.136
PP316514,PP316514.fasta,149736,149.74,0.15
PP316515,PP316515.fasta,153327,153.33,0.153
PP316516,PP316516.fasta,160856,160.86,0.161
PP316517,PP316517.fasta,135605,135.6,0.136
PP316518,PP316518.fasta,135514,135.51,0.136
PP316519,PP316519.fasta,152621,152.62,0.153
PP316520,PP316520.fasta,136375,136.38,0.136
PP316521,PP316521.fasta,136684,136.68,0.137
PP328572,PP328572.fasta,153126,153.13,0.153
PP328777,PP328777.fasta,135899,135.9,0.136
PP328778,PP328778.fasta,153329,153.33,0.153
PP328779,PP328779.fasta,158819,158.82,0.159
PP328780,PP328780.fasta,135233,135.23,0.135
PP328781,PP328781.fasta,137163,137.16,0.137
PP328782,PP328782.fasta,137153,137.15,0.137
PP328783,PP328783.fasta,137109,137.11,0.137
PP328784,PP328784.fasta,136592,136.59,0.137
PP328785,PP328785.fasta,137297,137.3,0.137
PP328786,PP328786.fasta,136054,136.05,0.136
PP328787,PP328787.fasta,136872,136.87,0.137
PP328788,PP328788.fasta,136771,136.77,0.137
PP328789,PP328789.fasta,155308,155.31,0.155
PP328790,PP328790.fasta,134361,134.36,0.134
PP328791,PP328791.fasta,161951,161.95,0.162
PP328792,PP328792.fasta,162036,162.04,0.162
PP328793,PP328793.fasta,151423,151.42,0.151
PP328794,PP328794.fasta,152491,152.49,0.152
PP328795,PP328795.fasta,156006,156.01,0.156
PP328796,PP328796.fasta,159577,159.58,0.16
PP328797,PP328797.fasta,159596,159.6,0.16
PP328798,PP328798.fasta,159710,159.71,0.16
PP328799,PP328799.fasta,155980,155.98,0.156
PP328800,PP328800.fasta,122967,122.97,0.123
PP328801,PP328801.fasta,123943,123.94,0.124
PP328804,PP328804.fasta,125507,125.51,0.126
PP328805,PP328805.fasta,122461,122.46,0.122
PP328806,PP328806.fasta,121932,121.93,0.122
PP328807,PP328807.fasta,122095,122.09,0.122
PP328808,PP328808.fasta,124912,124.91,0.125
PP328809,PP328809.fasta,122305,122.31,0.122
PP328810,PP328810.fasta,121763,121.76,0.122
PP328811,PP328811.fasta,127983,127.98,0.128
PP328812,PP328812.fasta,126973,126.97,0.127
PP328813,PP328813.fasta,126247,126.25,0.126
PP328814,PP328814.fasta,124243,124.24,0.124
PP328815,PP328815.fasta,127226,127.23,0.127
PP335047,PP335047.fasta,152665,152.66,0.153
PP335048,PP335048.fasta,134808,134.81,0.135
PP335049,PP335049.fasta,134958,134.96,0.135
PP335050,PP335050.fasta,154115,154.12,0.154
PP335051,PP335051.fasta,154113,154.11,0.154
PP335052,PP335052.fasta,153500,153.5,0.153
PP335053,PP335053.fasta,155405,155.41,0.155
PP335054,PP335054.fasta,172081,172.08,0.172
PP335055,PP335055.fasta,171414,171.41,0.171
PP335056,PP335056.fasta,157051,157.05,0.157
PP335057,PP335057.fasta,153115,153.12,0.153
PP335058,PP335058.fasta,153108,153.11,0.153
PP335059,PP335059.fasta,152531,152.53,0.153
PP335060,PP335060.fasta,135177,135.18,0.135
PP335061,PP335061.fasta,135064,135.06,0.135
PP335062,PP335062.fasta,161214,161.21,0.161
PP335063,PP335063.fasta,160856,160.86,0.161
PP335064,PP335064.fasta,161321,161.32,0.161
PP335065,PP335065.fasta,160581,160.58,0.161
PP335066,PP335066.fasta,161282,161.28,0.161
PP335067,PP335067.fasta,159739,159.74,0.16
PP335068,PP335068.fasta,159787,159.79,0.16
PP335069,PP335069.fasta,159122,159.12,0.159
PP335070,PP335070.fasta,144849,144.85,0.145
PP335071,PP335071.fasta,134200,134.2,0.134
PP335072,PP335072.fasta,133624,133.62,0.134
PP335073,PP335073.fasta,133975,133.97,0.134
PP335074,PP335074.fasta,134091,134.09,0.134
PP335075,PP335075.fasta,134010,134.01,0.134
PP335076,PP335076.fasta,133347,133.35,0.133
PP335077,PP335077.fasta,133341,133.34,0.133
PP335078,PP335078.fasta,134435,134.44,0.134
PP335079,PP335079.fasta,152688,152.69,0.153
PP336747,PP336747.fasta,154593,154.59,0.155
PP336748,PP336748.fasta,155601,155.6,0.156
PP336749,PP336749.fasta,161268,161.27,0.161
PP336750,PP336750.fasta,155574,155.57,0.156
PP336751,PP336751.fasta,155680,155.68,0.156
PP336752,PP336752.fasta,149756,149.76,0.15
PP336753,PP336753.fasta,152764,152.76,0.153
PP336754,PP336754.fasta,156064,156.06,0.156
PP336755,PP336755.fasta,152818,152.82,0.153
PP336756,PP336756.fasta,151346,151.35,0.151
PP336757,PP336757.fasta,152024,152.02,0.152
PP336759,PP336759.fasta,153870,153.87,0.154
PP336760,PP336760.fasta,153955,153.96,0.154
PP336761,PP336761.fasta,136538,136.54,0.137
PP336762,PP336762.fasta,134264,134.26,0.134
PP336763,PP336763.fasta,154976,154.98,0.155
PP336764,PP336764.fasta,135678,135.68,0.136
PP336765,PP336765.fasta,136505,136.5,0.137
PP336766,PP336766.fasta,156019,156.02,0.156
PP336767,PP336767.fasta,151368,151.37,0.151
PP336768,PP336768.fasta,150491,150.49,0.15
PP336769,PP336769.fasta,151985,151.99,0.152
PP336770,PP336770.fasta,135154,135.15,0.135
PP336771,PP336771.fasta,161325,161.32,0.161
PP336772,PP336772.fasta,152646,152.65,0.153
PP336773,PP336773.fasta,152598,152.6,0.153
PP336774,PP336774.fasta,154513,154.51,0.155
PP336775,PP336775.fasta,150621,150.62,0.151
PP336776,PP336776.fasta,150628,150.63,0.151
PP346659,PP346659.fasta,152693,152.69,0.153
PP346660,PP346660.fasta,152696,152.7,0.153
PP346777,PP346777.fasta,156029,156.03,0.156
PP346778,PP346778.fasta,155939,155.94,0.156
PP346781,PP346781.fasta,155818,155.82,0.156
PP346783,PP346783.fasta,155315,155.31,0.155
PP346784,PP346784.fasta,155352,155.35,0.155
PP346785,PP346785.fasta,155353,155.35,0.155
PP346786,PP346786.fasta,155203,155.2,0.155
PP346787,PP346787.fasta,154540,154.54,0.155
PP346788,PP346788.fasta,154593,154.59,0.155
PP346789,PP346789.fasta,155367,155.37,0.155
PP346790,PP346790.fasta,154899,154.9,0.155
PP346791,PP346791.fasta,155374,155.37,0.155
PP346792,PP346792.fasta,154551,154.55,0.155
PP346793,PP346793.fasta,154572,154.57,0.155
PP346794,PP346794.fasta,154566,154.57,0.155
PP346795,PP346795.fasta,155281,155.28,0.155
PP346797,PP346797.fasta,155323,155.32,0.155
PP346799,PP346799.fasta,156001,156.0,0.156
PP346800,PP346800.fasta,154537,154.54,0.155
PP346801,PP346801.fasta,156108,156.11,0.156
PP359606,PP359606.fasta,150449,150.45,0.15
PP386168,PP386168.fasta,156069,156.07,0.156
PP386170,PP386170.fasta,156121,156.12,0.156
PP386171,PP386171.fasta,156147,156.15,0.156
PP386174,PP386174.fasta,156304,156.3,0.156
PP391084,PP391084.fasta,162415,162.41,0.162
PP391085,PP391085.fasta,162302,162.3,0.162
PP413691,PP413691.fasta,157725,157.72,0.158
PP413696,PP413696.fasta,157699,157.7,0.158
PP465454,PP465454.fasta,160736,160.74,0.161
PP465455,PP465455.fasta,160811,160.81,0.161
PP465456,PP465456.fasta,160793,160.79,0.161
PP465457,PP465457.fasta,160926,160.93,0.161
PP467378,PP467378.fasta,160178,160.18,0.16
PP471847,PP471847.fasta,160763,160.76,0.161
PP475023,PP475023.fasta,152732,152.73,0.153
PP476258,PP476258.fasta,152519,152.52,0.153
PP476489,PP476489.fasta,155055,155.06,0.155
PP479681,PP479681.fasta,150116,150.12,0.15
PP479682,PP479682.fasta,160055,160.06,0.16
PP479683,PP479683.fasta,160219,160.22,0.16
PP479684,PP479684.fasta,157004,157.0,0.157
PP479685,PP479685.fasta,159451,159.45,0.159
PP479687,PP479687.fasta,151457,151.46,0.151
PP479688,PP479688.fasta,159136,159.14,0.159
PP479690,PP479690.fasta,150565,150.56,0.151
PP479691,PP479691.fasta,147407,147.41,0.147
PP479692,PP479692.fasta,159762,159.76,0.16
PP479693,PP479693.fasta,152285,152.28,0.152
PP479694,PP479694.fasta,160155,160.16,0.16
PP479695,PP479695.fasta,154615,154.62,0.155
PP479697,PP479697.fasta,151891,151.89,0.152
PP479698,PP479698.fasta,146397,146.4,0.146
PP479699,PP479699.fasta,158840,158.84,0.159
PP479702,PP479702.fasta,159984,159.98,0.16
PP479703,PP479703.fasta,151408,151.41,0.151
PP479712,PP479712.fasta,151921,151.92,0.152
PP479714,PP479714.fasta,159835,159.84,0.16
PP479715,PP479715.fasta,160605,160.6,0.161
PP479718,PP479718.fasta,148781,148.78,0.149
PP479719,PP479719.fasta,160001,160.0,0.16
PP479720,PP479720.fasta,153738,153.74,0.154
PP479721,PP479721.fasta,151295,151.29,0.151
PP479722,PP479722.fasta,159890,159.89,0.16
PP479723,PP479723.fasta,158882,158.88,0.159
PP479724,PP479724.fasta,153860,153.86,0.154
PP479725,PP479725.fasta,158793,158.79,0.159
PP479726,PP479726.fasta,153606,153.61,0.154
PP479727,PP479727.fasta,154668,154.67,0.155
PP479729,PP479729.fasta,159608,159.61,0.16
PP479731,PP479731.fasta,153357,153.36,0.153
PP479732,PP479732.fasta,159648,159.65,0.16
PP479733,PP479733.fasta,159074,159.07,0.159
PP479734,PP479734.fasta,154639,154.64,0.155
PP479743,PP479743.fasta,152114,152.11,0.152
PP479744,PP479744.fasta,151364,151.36,0.151
PP479746,PP479746.fasta,159032,159.03,0.159
PP479747,PP479747.fasta,159662,159.66,0.16
PP484609,PP484609.fasta,152123,152.12,0.152
PP484610,PP484610.fasta,153439,153.44,0.153
PP484611,PP484611.fasta,147037,147.04,0.147
PP484612,PP484612.fasta,157444,157.44,0.157
PP484613,PP484613.fasta,135908,135.91,0.136
PP484614,PP484614.fasta,135349,135.35,0.135
PP484615,PP484615.fasta,135344,135.34,0.135
PP484616,PP484616.fasta,155353,155.35,0.155
PP484617,PP484617.fasta,144004,144.0,0.144
PP484618,PP484618.fasta,143163,143.16,0.143
PP484619,PP484619.fasta,143891,143.89,0.144
PP484623,PP484623.fasta,154317,154.32,0.154
PP484624,PP484624.fasta,151436,151.44,0.151
PP484625,PP484625.fasta,152796,152.8,0.153
PP484626,PP484626.fasta,137596,137.6,0.138
PP484627,PP484627.fasta,135491,135.49,0.135
PP484628,PP484628.fasta,153892,153.89,0.154
PP484629,PP484629.fasta,153844,153.84,0.154
PP484630,PP484630.fasta,148908,148.91,0.149
PP484631,PP484631.fasta,146630,146.63,0.147
PP484633,PP484633.fasta,152327,152.33,0.152
PP484634,PP484634.fasta,152284,152.28,0.152
PP484635,PP484635.fasta,147054,147.05,0.147
PP484636,PP484636.fasta,137286,137.29,0.137
PP484637,PP484637.fasta,152539,152.54,0.153
PP484638,PP484638.fasta,152939,152.94,0.153
PP484639,PP484639.fasta,152946,152.95,0.153
PP484641,PP484641.fasta,135613,135.61,0.136
PP484642,PP484642.fasta,135660,135.66,0.136
PP493341,PP493341.fasta,150985,150.99,0.151
PP498687,PP498687.1.fasta,158622,158.62,0.159
PP498800,PP498800.1.fasta,117648,117.65,0.118
PP503005,PP503005.fasta,159959,159.96,0.16
PP504911,PP504911.fasta,152079,152.08,0.152
PP505909,PP505909.fasta,152747,152.75,0.153
PP505911,PP505911.fasta,152224,152.22,0.152
PP505912,PP505912.fasta,152286,152.29,0.152
PP505913,PP505913.fasta,152289,152.29,0.152
PP505914,PP505914.fasta,153572,153.57,0.154
PP505915,PP505915.fasta,152226,152.23,0.152
PP505916,PP505916.fasta,152721,152.72,0.153
PP505918,PP505918.fasta,152708,152.71,0.153
PP505922,PP505922.fasta,153166,153.17,0.153
PP505924,PP505924.fasta,152825,152.82,0.153
PP505926,PP505926.fasta,154032,154.03,0.154
PP505930,PP505930.fasta,152729,152.73,0.153
PP505935,PP505935.fasta,154075,154.07,0.154
PP505941,PP505941.fasta,152774,152.77,0.153
PP505942,PP505942.fasta,152716,152.72,0.153
PP505943,PP505943.fasta,153128,153.13,0.153
PP505945,PP505945.fasta,152555,152.56,0.153
PP505946,PP505946.fasta,152690,152.69,0.153
PP505947,PP505947.fasta,152626,152.63,0.153
PP505949,PP505949.fasta,152796,152.8,0.153
PP505950,PP505950.fasta,152744,152.74,0.153
PP505951,PP505951.fasta,152720,152.72,0.153
PP505952,PP505952.fasta,152925,152.93,0.153
PP505953,PP505953.fasta,152732,152.73,0.153
PP505954,PP505954.fasta,152690,152.69,0.153
PP505955,PP505955.fasta,152747,152.75,0.153
PP505956,PP505956.fasta,152681,152.68,0.153
PP505958,PP505958.fasta,152605,152.6,0.153
PP505959,PP505959.fasta,152782,152.78,0.153
PP505960,PP505960.fasta,152694,152.69,0.153
PP516537,PP516537.fasta,160554,160.55,0.161
PP530883,PP530883.fasta,145734,145.73,0.146
PP530888,PP530888.fasta,155923,155.92,0.156
PP530889,PP530889.fasta,156218,156.22,0.156
PP530890,PP530890.fasta,155733,155.73,0.156
PP530891,PP530891.fasta,164112,164.11,0.164
PP531545,PP531545.fasta,161107,161.11,0.161
PP531552,PP531552.fasta,157255,157.25,0.157
PP531553,PP531553.fasta,157324,157.32,0.157
PP531554,PP531554.fasta,158492,158.49,0.158
PP531555,PP531555.fasta,157285,157.28,0.157
PP531556,PP531556.fasta,159450,159.45,0.159
PP531557,PP531557.fasta,157434,157.43,0.157
PP531558,PP531558.fasta,155763,155.76,0.156
PP531559,PP531559.fasta,153931,153.93,0.154
PP531560,PP531560.fasta,153065,153.06,0.153
PP531561,PP531561.fasta,154713,154.71,0.155
PP531562,PP531562.fasta,156777,156.78,0.157
PP531563,PP531563.fasta,156016,156.02,0.156
PP531564,PP531564.fasta,156869,156.87,0.157
PP531565,PP531565.fasta,156191,156.19,0.156
PP531566,PP531566.fasta,160762,160.76,0.161
PP536053,PP536053.fasta,160603,160.6,0.161
PP541848,PP541848.fasta,158232,158.23,0.158
PP541849,PP541849.fasta,152210,152.21,0.152
PP541850,PP541850.fasta,152211,152.21,0.152
PP541851,PP541851.fasta,148737,148.74,0.149
PP541852,PP541852.fasta,159387,159.39,0.159
PP541853,PP541853.fasta,135016,135.02,0.135
PP541854,PP541854.fasta,135549,135.55,0.136
PP541855,PP541855.fasta,150092,150.09,0.15
PP541856,PP541856.fasta,149381,149.38,0.149
PP541858,PP541858.fasta,158056,158.06,0.158
PP541859,PP541859.fasta,154235,154.24,0.154
PP541860,PP541860.fasta,135846,135.85,0.136
PP541861,PP541861.fasta,135835,135.84,0.136
PP541862,PP541862.fasta,135924,135.92,0.136
PP541863,PP541863.fasta,135455,135.46,0.135
PP541864,PP541864.fasta,136074,136.07,0.136
PP541865,PP541865.fasta,164201,164.2,0.164
PP541866,PP541866.fasta,163440,163.44,0.163
PP541867,PP541867.fasta,156450,156.45,0.156
PP541868,PP541868.fasta,154828,154.83,0.155
PP541869,PP541869.fasta,156267,156.27,0.156
PP541870,PP541870.fasta,155843,155.84,0.156
PP541871,PP541871.fasta,154964,154.96,0.155
PP541872,PP541872.fasta,157759,157.76,0.158
PP541873,PP541873.fasta,157583,157.58,0.158
PP541874,PP541874.fasta,156478,156.48,0.156
PP541875,PP541875.fasta,162635,162.63,0.163
PP541876,PP541876.fasta,156596,156.6,0.157
PP541877,PP541877.fasta,156385,156.38,0.156
PP541878,PP541878.fasta,156391,156.39,0.156
PP541879,PP541879.fasta,157130,157.13,0.157
PP541880,PP541880.fasta,155676,155.68,0.156
PP541881,PP541881.fasta,151907,151.91,0.152
PP541882,PP541882.fasta,154142,154.14,0.154
PP541883,PP541883.fasta,161230,161.23,0.161
PP541884,PP541884.fasta,161105,161.1,0.161
PP541885,PP541885.fasta,145309,145.31,0.145
PP541886,PP541886.fasta,145369,145.37,0.145
PP541887,PP541887.fasta,145323,145.32,0.145
PP541888,PP541888.fasta,156653,156.65,0.157
PP541890,PP541890.fasta,156770,156.77,0.157
PP541891,PP541891.fasta,155722,155.72,0.156
PP541892,PP541892.fasta,159154,159.15,0.159
PP541893,PP541893.fasta,159031,159.03,0.159
PP541894,PP541894.fasta,158876,158.88,0.159
PP541895,PP541895.fasta,158899,158.9,0.159
PP541896,PP541896.fasta,154234,154.23,0.154
PP541897,PP541897.fasta,154656,154.66,0.155
PP541898,PP541898.fasta,153636,153.64,0.154
PP541899,PP541899.fasta,154253,154.25,0.154
PP541900,PP541900.fasta,153559,153.56,0.154
PP541901,PP541901.fasta,153536,153.54,0.154
PP545465,PP545465.fasta,160625,160.62,0.161
PP546823,PP546823.fasta,159129,159.13,0.159
PP551940,PP551940.1.fasta,242589,242.59,0.243
PP551950,PP551950.fasta,160555,160.56,0.161
PP565779,PP565779.fasta,156454,156.45,0.156
PP565780,PP565780.fasta,155753,155.75,0.156
PP565781,PP565781.fasta,156811,156.81,0.157
PP565782,PP565782.fasta,156476,156.48,0.156
PP565783,PP565783.fasta,156417,156.42,0.156
PP565784,PP565784.fasta,156494,156.49,0.156
PP565785,PP565785.fasta,156511,156.51,0.157
PP566025,PP566025.fasta,143972,143.97,0.144
PP577214,PP577214.fasta,152063,152.06,0.152
PP577928,PP577928.fasta,162055,162.06,0.162
PP577929,PP577929.fasta,162140,162.14,0.162
PP579889,PP579889.fasta,120345,120.34,0.12
PP579974,PP579974.fasta,155492,155.49,0.155
PP584592,PP584592.fasta,160702,160.7,0.161
PP584593,PP584593.fasta,159892,159.89,0.16
PP584595,PP584595.fasta,160691,160.69,0.161
PP584596,PP584596.fasta,160500,160.5,0.161
PP584598,PP584598.fasta,159449,159.45,0.159
PP590241,PP590241.fasta,139663,139.66,0.14
PP595826,PP595826.fasta,158243,158.24,0.158
PP595827,PP595827.fasta,157887,157.89,0.158
PP595828,PP595828.fasta,157887,157.89,0.158
PP595829,PP595829.fasta,157867,157.87,0.158
PP595830,PP595830.fasta,157937,157.94,0.158
PP595831,PP595831.fasta,158079,158.08,0.158
PP595832,PP595832.fasta,157898,157.9,0.158
PP595833,PP595833.fasta,157912,157.91,0.158
PP595834,PP595834.fasta,158079,158.08,0.158
PP595835,PP595835.fasta,157866,157.87,0.158
PP595837,PP595837.fasta,157897,157.9,0.158
PP595838,PP595838.fasta,157817,157.82,0.158
PP595839,PP595839.fasta,157929,157.93,0.158
PP595840,PP595840.fasta,158778,158.78,0.159
PP595842,PP595842.fasta,158989,158.99,0.159
PP595843,PP595843.fasta,158996,159.0,0.159
PP595844,PP595844.fasta,159186,159.19,0.159
PP595845,PP595845.fasta,158004,158.0,0.158
PP595846,PP595846.fasta,157915,157.91,0.158
PP595847,PP595847.fasta,157790,157.79,0.158
PP595853,PP595853.fasta,158925,158.93,0.159
PP595859,PP595859.fasta,158948,158.95,0.159
PP595865,PP595865.fasta,158911,158.91,0.159
PP595867,PP595867.fasta,159057,159.06,0.159
PP595868,PP595868.fasta,158078,158.08,0.158
PP595869,PP595869.fasta,158620,158.62,0.159
PP595870,PP595870.fasta,156648,156.65,0.157
PP595871,PP595871.fasta,158074,158.07,0.158
PP595872,PP595872.fasta,158070,158.07,0.158
PP595873,PP595873.fasta,158164,158.16,0.158
PP595874,PP595874.fasta,157903,157.9,0.158
PP595875,PP595875.fasta,158922,158.92,0.159
PP595877,PP595877.fasta,157785,157.78,0.158
PP595878,PP595878.fasta,157927,157.93,0.158
PP595879,PP595879.fasta,158760,158.76,0.159
PP595880,PP595880.fasta,158071,158.07,0.158
PP595881,PP595881.fasta,157517,157.52,0.158
PP595882,PP595882.fasta,159289,159.29,0.159
PP595883,PP595883.fasta,157869,157.87,0.158
PP596895,PP596895.fasta,150757,150.76,0.151
PP621515,PP621515.fasta,154653,154.65,0.155
PP622677,PP622677.fasta,155577,155.58,0.156
PP622678,PP622678.fasta,155592,155.59,0.156
PP622679,PP622679.fasta,155550,155.55,0.156
PP622680,PP622680.fasta,155574,155.57,0.156
PP622681,PP622681.fasta,155593,155.59,0.156
PP622682,PP622682.fasta,155677,155.68,0.156
PP622683,PP622683.fasta,153785,153.78,0.154
PP622684,PP622684.fasta,149922,149.92,0.15
PP622685,PP622685.fasta,152089,152.09,0.152
PP622686,PP622686.fasta,152322,152.32,0.152
PP622687,PP622687.fasta,145867,145.87,0.146
PP622688,PP622688.fasta,150025,150.03,0.15
PP622689,PP622689.fasta,152723,152.72,0.153
PP622690,PP622690.fasta,152414,152.41,0.152
PP622691,PP622691.fasta,135799,135.8,0.136
PP622692,PP622692.fasta,152711,152.71,0.153
PP622693,PP622693.fasta,155207,155.21,0.155
PP622694,PP622694.fasta,150577,150.58,0.151
PP622695,PP622695.fasta,137860,137.86,0.138
PP622696,PP622696.fasta,155839,155.84,0.156
PP622697,PP622697.fasta,155935,155.94,0.156
PP622698,PP622698.fasta,156182,156.18,0.156
PP622699,PP622699.fasta,156151,156.15,0.156
PP622700,PP622700.fasta,137095,137.09,0.137
PP622701,PP622701.fasta,138399,138.4,0.138
PP622702,PP622702.fasta,148924,148.92,0.149
PP622703,PP622703.fasta,136300,136.3,0.136
PP622704,PP622704.fasta,136254,136.25,0.136
PP622705,PP622705.fasta,159997,160.0,0.16
PP622706,PP622706.fasta,153668,153.67,0.154
PP622707,PP622707.fasta,153552,153.55,0.154
PP622708,PP622708.fasta,153003,153.0,0.153
PP622709,PP622709.fasta,153392,153.39,0.153
PP622710,PP622710.fasta,153328,153.33,0.153
PP622711,PP622711.fasta,153442,153.44,0.153
PP622712,PP622712.fasta,158035,158.03,0.158
PP622713,PP622713.fasta,158125,158.12,0.158
PP622714,PP622714.fasta,151110,151.11,0.151
PP622715,PP622715.fasta,149381,149.38,0.149
PP622716,PP622716.fasta,150512,150.51,0.151
PP622717,PP622717.fasta,150820,150.82,0.151
PP622718,PP622718.fasta,150625,150.62,0.151
PP622719,PP622719.fasta,151178,151.18,0.151
PP622720,PP622720.fasta,151271,151.27,0.151
PP622721,PP622721.fasta,150614,150.61,0.151
PP622722,PP622722.fasta,150982,150.98,0.151
PP622723,PP622723.fasta,150888,150.89,0.151
PP646449,PP646449.fasta,157351,157.35,0.157
PP646452,PP646452.fasta,162104,162.1,0.162
PP648233,PP648233.fasta,159110,159.11,0.159
PP648240,PP648240.fasta,158936,158.94,0.159
PP648249,PP648249.fasta,158908,158.91,0.159
PP648251,PP648251.fasta,157029,157.03,0.157
PP680763,PP680763.fasta,150307,150.31,0.15
PP681297,PP681297.fasta,139698,139.7,0.14
PP681645,PP681645.fasta,139688,139.69,0.14
PP681646,PP681646.fasta,139674,139.67,0.14
PP681647,PP681647.fasta,139677,139.68,0.14
PP681648,PP681648.fasta,139669,139.67,0.14
PP681649,PP681649.fasta,139643,139.64,0.14
PP681651,PP681651.fasta,139672,139.67,0.14
PP681652,PP681652.fasta,139697,139.7,0.14
PP681653,PP681653.fasta,139709,139.71,0.14
PP681654,PP681654.fasta,139676,139.68,0.14
PP681655,PP681655.fasta,139659,139.66,0.14
PP681656,PP681656.fasta,139678,139.68,0.14
PP681659,PP681659.fasta,139582,139.58,0.14
PP681660,PP681660.fasta,139706,139.71,0.14
PP681661,PP681661.fasta,139566,139.57,0.14
PP681662,PP681662.fasta,139746,139.75,0.14
PP681665,PP681665.fasta,139678,139.68,0.14
PP681667,PP681667.fasta,139681,139.68,0.14
PP681669,PP681669.fasta,139659,139.66,0.14
PP681670,PP681670.fasta,139674,139.67,0.14
PP681673,PP681673.fasta,139788,139.79,0.14
PP693041,PP693041.fasta,166696,166.7,0.167
PP693366,PP693366.fasta,147692,147.69,0.148
PP693367,PP693367.fasta,146163,146.16,0.146
PP693368,PP693368.fasta,148458,148.46,0.148
PP693369,PP693369.fasta,150652,150.65,0.151
PP693370,PP693370.fasta,151592,151.59,0.152
PP693371,PP693371.fasta,151652,151.65,0.152
PP693372,PP693372.fasta,148908,148.91,0.149
PP693373,PP693373.fasta,150614,150.61,0.151
PP693374,PP693374.fasta,151532,151.53,0.152
PP697852,PP697852.fasta,155294,155.29,0.155
PP697853,PP697853.fasta,155149,155.15,0.155
PP697854,PP697854.fasta,155561,155.56,0.156
PP697858,PP697858.fasta,154402,154.4,0.154
PP697860,PP697860.fasta,155093,155.09,0.155
PP697861,PP697861.fasta,156111,156.11,0.156
PP697864,PP697864.fasta,155169,155.17,0.155
PP697865,PP697865.fasta,154622,154.62,0.155
PP697868,PP697868.fasta,154217,154.22,0.154
PP697870,PP697870.fasta,154887,154.89,0.155
